Strike,Moneyness,Bid,Midpoint,Ask,F,T
900.00,0.76,2856.10,2867.55,2879.00,3803.79,0.74
1000.00,0.74,2757.00,2768.45,2779.90,3803.79,0.74
1100.00,0.71,2658.00,2669.45,2680.90,3803.79,0.74
1200.00,0.68,2559.10,2570.55,2582.00,3803.79,0.74
1300.00,0.66,2460.30,2471.75,2483.20,3803.79,0.74
1400.00,0.63,2361.60,2373.05,2384.50,3803.79,0.74
1500.00,0.61,2263.00,2274.45,2285.90,3803.79,0.74
1550.00,0.59,2213.80,2225.25,2236.70,3803.79,0.74
1600.00,0.58,2164.70,2176.15,2187.60,3803.79,0.74
1650.00,0.57,2115.60,2126.20,2136.80,3803.79,0.74
1700.00,0.55,2066.50,2077.10,2087.70,3803.79,0.74
1750.00,0.54,2017.60,2028.15,2038.70,3803.79,0.74
1800.00,0.53,1968.60,1979.20,1989.80,3803.79,0.74
1850.00,0.51,1919.80,1930.35,1940.90,3803.79,0.74
1900.00,0.50,1871.10,1881.60,1892.10,3803.79,0.74
1950.00,0.49,1822.40,1832.90,1843.40,3803.79,0.74
2000.00,0.47,1773.90,1784.40,1794.90,3803.79,0.74
2050.00,0.46,1725.40,1735.90,1746.40,3803.79,0.74
2100.00,0.45,1683.90,1688.45,1693.00,3803.79,0.74
2150.00,0.43,1635.80,1640.30,1644.80,3803.79,0.74
2200.00,0.42,1587.80,1592.30,1596.80,3803.79,0.74
2250.00,0.41,1540.00,1544.45,1548.90,3803.79,0.74
2275.00,0.40,1516.20,1520.65,1525.10,3803.79,0.74
2300.00,0.40,1492.40,1496.85,1501.30,3803.79,0.74
2325.00,0.39,1468.60,1473.05,1477.50,3803.79,0.74
2350.00,0.38,1444.90,1449.35,1453.80,3803.79,0.74
2375.00,0.38,1421.30,1425.70,1430.10,3803.79,0.74
2400.00,0.37,1397.70,1402.10,1406.50,3803.79,0.74
2425.00,0.36,1374.20,1378.55,1382.90,3803.79,0.74
2450.00,0.36,1350.70,1355.05,1359.40,3803.79,0.74
2475.00,0.35,1327.30,1331.65,1336.00,3803.79,0.74
2500.00,0.34,1304.00,1308.30,1312.60,3803.79,0.74
2525.00,0.34,1280.70,1285.00,1289.30,3803.79,0.74
2550.00,0.33,1257.50,1261.80,1266.10,3803.79,0.74
2575.00,0.32,1234.40,1238.65,1242.90,3803.79,0.74
2600.00,0.32,1211.40,1215.60,1219.80,3803.79,0.74
2625.00,0.31,1188.40,1192.60,1196.80,3803.79,0.74
2650.00,0.30,1165.50,1169.65,1173.80,3803.79,0.74
2675.00,0.30,1142.70,1146.85,1151.00,3803.79,0.74
2700.00,0.29,1119.90,1124.05,1128.20,3803.79,0.74
2725.00,0.28,1097.30,1101.40,1105.50,3803.79,0.74
2750.00,0.28,1074.70,1078.80,1082.90,3803.79,0.74
2775.00,0.27,1052.30,1056.30,1060.30,3803.79,0.74
2800.00,0.26,1029.90,1033.90,1037.90,3803.79,0.74
2825.00,0.26,1007.60,1011.60,1015.60,3803.79,0.74
2850.00,0.25,985.40,989.35,993.30,3803.79,0.74
2875.00,0.24,963.30,967.25,971.20,3803.79,0.74
2900.00,0.24,941.40,945.25,949.10,3803.79,0.74
2925.00,0.23,919.50,923.35,927.20,3803.79,0.74
2950.00,0.22,897.70,901.55,905.40,3803.79,0.74
2975.00,0.22,876.10,879.85,883.60,3803.79,0.74
